year,State_from,State_to,estimate,MOE
2011,Alaska,Alabama,1771,1098
2011,Alaska,Arizona,5001,2214
2011,Alaska,Arkansas,560,669
2011,Alaska,California,7358,2501
2011,Alaska,Colorado,3191,1622
2011,Alaska,Connecticut,180,299
2011,Alaska,Delaware,329,544
2011,Alaska,Florida,7405,3412
2011,Alaska,Georgia,1079,765
2011,Alaska,Hawaii,844,670
2011,Alaska,Idaho,4510,2938
2011,Alaska,Illinois,4119,3153
2011,Alaska,Indiana,371,324
2011,Alaska,Iowa,967,651
2011,Alaska,Kansas,108,84
2011,Alaska,Kentucky,0,189
2011,Alaska,Louisiana,288,266
2011,Alaska,Maine,37,43
2011,Alaska,Maryland,671,493
2011,Alaska,Massachusetts,225,345
2011,Alaska,Michigan,3456,1793
2011,Alaska,Minnesota,893,619
2011,Alaska,Mississippi,117,102
2011,Alaska,Missouri,2043,2471
2011,Alaska,Montana,1118,921
2011,Alaska,Nevada,597,525
2011,Alaska,New Hampshire,0,184
2011,Alaska,New Jersey,1198,790
2011,Alaska,New Mexico,416,446
2011,Alaska,New York,6124,2270
2011,Alaska,North Carolina,3991,2185
2011,Alaska,North Dakota,393,365
2011,Alaska,Ohio,1637,1579
2011,Alaska,Oklahoma,1137,857
2011,Alaska,Oregon,1935,1062
2011,Alaska,Pennsylvania,759,664
2011,Alaska,Rhode Island,0,207
2011,Alaska,South Carolina,2421,1281
2011,Alaska,South Dakota,554,492
2011,Alaska,Tennessee,531,465
2011,Alaska,Texas,6670,2828
2011,Alaska,Utah,2151,1259
2011,Alaska,Vermont,580,441
2011,Alaska,Virginia,3202,1687
2011,Alaska,Washington,5266,2233
2011,Alaska,West Virginia,598,566
2011,Alaska,Wisconsin,432,323
2011,Alaska,Wyoming,761,597
2011,Arizona,Alabama,1677,1060
2011,Arizona,Alaska,2467,1902
2011,Arizona,Arkansas,439,381
2011,Arizona,California,35650,4362
2011,Arizona,Colorado,12338,3704
2011,Arizona,Connecticut,1387,939
2011,Arizona,Delaware,541,728
2011,Arizona,Florida,8451,3258
2011,Arizona,Georgia,4292,1849
2011,Arizona,Hawaii,2900,1208
2011,Arizona,Idaho,3543,1771
2011,Arizona,Illinois,7657,1987
2011,Arizona,Indiana,3975,1427
2011,Arizona,Iowa,1411,726
2011,Arizona,Kansas,2028,858
2011,Arizona,Kentucky,1818,916
2011,Arizona,Louisiana,2010,1529
2011,Arizona,Maine,325,301
2011,Arizona,Maryland,945,604
2011,Arizona,Massachusetts,1017,518
2011,Arizona,Michigan,3840,1382
2011,Arizona,Minnesota,2314,1071
2011,Arizona,Mississippi,556,405
2011,Arizona,Missouri,2356,1028
2011,Arizona,Montana,1971,1358
2011,Arizona,Nevada,10142,4338
2011,Arizona,New Hampshire,246,210
2011,Arizona,New Jersey,3784,2287
2011,Arizona,New Mexico,7444,3409
2011,Arizona,New York,2821,1100
2011,Arizona,North Carolina,4286,2860
2011,Arizona,North Dakota,1313,613
2011,Arizona,Ohio,6763,3193
2011,Arizona,Oklahoma,3770,1522
2011,Arizona,Oregon,7911,3054
2011,Arizona,Pennsylvania,2278,917
2011,Arizona,Rhode Island,214,348
2011,Arizona,South Carolina,1971,1391
2011,Arizona,South Dakota,1422,1445
2011,Arizona,Tennessee,1346,1176
2011,Arizona,Texas,20073,5295
2011,Arizona,Utah,6585,2560
2011,Arizona,Vermont,310,325
2011,Arizona,Virginia,4679,2151
2011,Arizona,Washington,12397,3133
2011,Arizona,West Virginia,50,95
2011,Arizona,Wisconsin,4045,1532
2011,Arizona,Wyoming,369,276
2011,Arkansas,Alabama,1642,1063
2011,Arkansas,Alaska,190,258
2011,Arkansas,Arizona,1066,740
2011,Arkansas,California,2648,1019
2011,Arkansas,Colorado,1615,1191
2011,Arkansas,Connecticut,84,178
2011,Arkansas,Delaware,0,192
2011,Arkansas,Florida,3025,1241
2011,Arkansas,Georgia,2112,1366
2011,Arkansas,Hawaii,242,260
2011,Arkansas,Idaho,224,188
2011,Arkansas,Illinois,3185,1513
2011,Arkansas,Indiana,2016,1321
2011,Arkansas,Iowa,433,317
2011,Arkansas,Kansas,998,697
2011,Arkansas,Kentucky,1058,778
2011,Arkansas,Louisiana,2774,1144
2011,Arkansas,Maine,38,67
2011,Arkansas,Maryland,423,528
2011,Arkansas,Massachusetts,167,201
2011,Arkansas,Michigan,2054,1024
2011,Arkansas,Minnesota,951,599
2011,Arkansas,Mississippi,2315,1360
2011,Arkansas,Missouri,6168,1528
2011,Arkansas,Montana,49,70
2011,Arkansas,Nevada,310,358
2011,Arkansas,New Hampshire,22,37
2011,Arkansas,New Jersey,57,97
2011,Arkansas,New Mexico,682,607
2011,Arkansas,New York,1041,734
2011,Arkansas,North Carolina,327,322
2011,Arkansas,North Dakota,249,293
2011,Arkansas,Ohio,1952,1128
2011,Arkansas,Oklahoma,6894,2060
2011,Arkansas,Oregon,988,1155
2011,Arkansas,Pennsylvania,582,601
2011,Arkansas,Rhode Island,0,207
2011,Arkansas,South Carolina,1333,1301
2011,Arkansas,South Dakota,659,778
2011,Arkansas,Tennessee,7393,3038
2011,Arkansas,Texas,16461,3965
2011,Arkansas,Utah,422,455
2011,Arkansas,Vermont,0,145
2011,Arkansas,Virginia,645,606
2011,Arkansas,Washington,756,565
2011,Arkansas,West Virginia,225,361
2011,Arkansas,Wisconsin,335,285
2011,Arkansas,Wyoming,174,191
2011,California,Alabama,3389,1286
2011,California,Alaska,3098,1921
2011,California,Arizona,49635,8755
2011,California,Arkansas,4077,2327
2011,California,Colorado,23234,3742
2011,California,Connecticut,3699,1455
2011,California,Delaware,699,594
2011,California,Florida,22420,4065
2011,California,Georgia,14949,3387
2011,California,Hawaii,10173,2201
2011,California,Idaho,9021,2484
2011,California,Illinois,13930,2863
2011,California,Indiana,7649,2229
2011,California,Iowa,3297,1022
2011,California,Kansas,4743,2121
2011,California,Kentucky,2130,1154
2011,California,Louisiana,3957,898
2011,California,Maine,829,428
2011,California,Maryland,8595,1773
2011,California,Massachusetts,11556,2290
2011,California,Michigan,7793,1752
2011,California,Minnesota,6638,2072
2011,California,Mississippi,4723,1290
2011,California,Missouri,8386,1909
2011,California,Montana,3033,1110
2011,California,Nevada,40114,5354
2011,California,New Hampshire,547,334
2011,California,New Jersey,5986,1519
2011,California,New Mexico,7066,2324
2011,California,New York,25761,3856
2011,California,North Carolina,15373,5531
2011,California,North Dakota,1356,1011
2011,California,Ohio,9032,1771
2011,California,Oklahoma,8233,2583
2011,California,Oregon,34214,4555
2011,California,Pennsylvania,10672,2349
2011,California,Rhode Island,1949,734
2011,California,South Carolina,6592,1789
2011,California,South Dakota,1286,622
2011,California,Tennessee,7130,2041
2011,California,Texas,58992,7044
2011,California,Utah,18237,4113
2011,California,Vermont,819,508
2011,California,Virginia,19371,4241
2011,California,Washington,38421,4474
2011,California,West Virginia,1442,1085
2011,California,Wisconsin,6637,2054
2011,California,Wyoming,2539,1151
2011,Colorado,Alabama,348,295
2011,Colorado,Alaska,1583,727
2011,Colorado,Arizona,10189,2958
2011,Colorado,Arkansas,746,451
2011,Colorado,California,21245,3867
2011,Colorado,Connecticut,1502,618
2011,Colorado,Delaware,169,218
2011,Colorado,Florida,9383,2988
2011,Colorado,Georgia,2325,1399
2011,Colorado,Hawaii,950,493
2011,Colorado,Idaho,1813,1022
2011,Colorado,Illinois,3271,1390
2011,Colorado,Indiana,1930,759
2011,Colorado,Iowa,2891,1129
2011,Colorado,Kansas,5030,1611
2011,Colorado,Kentucky,221,197
2011,Colorado,Louisiana,1202,983
2011,Colorado,Maine,290,222
2011,Colorado,Maryland,1796,837
2011,Colorado,Massachusetts,1388,972
2011,Colorado,Michigan,3425,1462
2011,Colorado,Minnesota,2662,1023
2011,Colorado,Mississippi,484,453
2011,Colorado,Missouri,3144,1163
2011,Colorado,Montana,2856,1265
2011,Colorado,Nevada,2714,1470
2011,Colorado,New Hampshire,403,313
2011,Colorado,New Jersey,2203,1931
2011,Colorado,New Mexico,5525,1537
2011,Colorado,New York,3724,1151
2011,Colorado,North Carolina,3919,1645
2011,Colorado,North Dakota,1229,612
2011,Colorado,Ohio,2690,1023
2011,Colorado,Oklahoma,3273,1511
2011,Colorado,Oregon,2110,659
2011,Colorado,Pennsylvania,2491,1027
2011,Colorado,Rhode Island,301,271
2011,Colorado,South Carolina,1000,598
2011,Colorado,South Dakota,1021,604
2011,Colorado,Tennessee,1372,902
2011,Colorado,Texas,19126,3821
2011,Colorado,Utah,3986,1191
2011,Colorado,Vermont,529,493
2011,Colorado,Virginia,4908,2334
2011,Colorado,Washington,3938,1215
