state_id,state_name,year,sum_inflow_agi_all_age,sum_outflow_agi_all_age,net_inflow_all_age,gdp,net_inflow_all_age1
AL,Alabama,2011,4105434,4160446,-55012,38562,-55.012
AL,Alabama,2012,4452524,4300423,152101,38687,152.101
AL,Alabama,2013,4773473,4768485,4988,38954,4.988
AL,Alabama,2014,4310557,4528177,-217620,38585,-217.62
AL,Alabama,2015,3057113,3287927,-230814,39014,-230.814
AL,Alabama,2016,4755179,5056801,-301622,39201,-301.622
AL,Alabama,2017,7160900,6151673,1009227,39594,1009.227
AL,Alabama,2018,5541978,5017018,524960,40598,524.96
AK,Alaska,2011,1554402,1967890,-413488,75683,-413.488
AK,Alaska,2012,1498723,1966040,-467317,78957,-467.317
AK,Alaska,2013,1561611,2418719,-857108,74283,-857.108
AK,Alaska,2014,1543796,2061251,-517455,72352,-517.455
AK,Alaska,2015,1210891,1410196,-199305,72943,-199.305
AK,Alaska,2016,1573062,2127870,-554808,71086,-554.808
AK,Alaska,2017,1869987,3086532,-1216545,71274,-1216.545
AK,Alaska,2018,1489473,2136595,-647122,71996,-647.122
AZ,Arizona,2011,11633862,8594304,3039558,40660,3039.558
AZ,Arizona,2012,11058304,9094197,1964107,40919,1964.107
AZ,Arizona,2013,13013318,10005221,3008097,40716,3008.097
AZ,Arizona,2014,11873248,9391007,2482241,40642,2482.241
AZ,Arizona,2015,9407901,7040277,2367624,41008,2367.624
AZ,Arizona,2016,13966517,10080856,3885661,41643,3885.661
AZ,Arizona,2017,20873997,13279059,7594938,42476,7594.938
AZ,Arizona,2018,17920818,10865661,7055157,43464,7055.157
AR,Arkansas,2011,2602351,2686243,-83892,36830,-83.892
AR,Arkansas,2012,2689856,2885620,-195764,36836,-195.764
AR,Arkansas,2013,2982505,3091223,-108718,37769,-108.718
AR,Arkansas,2014,2690886,2844635,-153749,38053,-153.749
AR,Arkansas,2015,1990703,2155563,-164860,38229,-164.86
AR,Arkansas,2016,3031209,3109923,-78714,38303,-78.714
AR,Arkansas,2017,4324124,4164188,159936,38411,159.936
AR,Arkansas,2018,3259982,3292408,-32426,38919,-32.426
CA,California,2011,28632075,30575013,-1942938,55565,-1942.938
CA,California,2012,31822714,32090504,-267790,56492,-267.79
CA,California,2013,34963297,42655031,-7691734,58015,-7691.734
CA,California,2014,34663487,43579774,-8916287,59871,-8916.287
CA,California,2015,27748968,31994311,-4245343,62347,-4245.343
CA,California,2016,40230322,44939612,-4709290,63785,-4709.29
CA,California,2017,49457315,63652609,-14195294,66262,-14195.294
CA,California,2018,40185890,56220067,-16034177,68803,-16034.177
CO,Colorado,2011,9915071,7975863,1939208,52459,1939.208
CO,Colorado,2012,10643000,8461701,2181299,52663,2181.299
CO,Colorado,2013,12447909,10342560,2105349,53607,2105.349
CO,Colorado,2014,11831973,9697252,2134721,55258,2134.721
CO,Colorado,2015,9234131,7361042,1873089,56708,1873.089
